season,team_alias,team_basket,player_full_name,event_coord_x,event_coord_y,event_type,type,shot_made,shot_type,shot_subtype,three_point_shot,points_scored
2016,UNC,left,Isaiah Hicks,88.0,317.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Justin Jackson,948.0,279.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Kennedy Meeks,96.0,233.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Marcus Paige,77.0,147.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Brice Johnson,96.0,281.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Brice Johnson,233.0,293.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Kennedy Meeks,70.0,322.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Kennedy Meeks,118.0,297.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Kenny Williams,88.0,270.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Kennedy Meeks,122.0,231.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Kennedy Meeks,1054.0,321.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Justin Jackson,136.0,293.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Justin Jackson,77.0,137.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Kennedy Meeks,1045.0,325.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Isaiah Hicks,1011.0,303.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Brice Johnson,75.0,280.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,right,Kennedy Meeks,990.0,317.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Brice Johnson,1047.0,320.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Justin Jackson,105.0,270.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Joel Berry II,79.0,259.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Justin Jackson,105.0,342.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Kennedy Meeks,109.0,270.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Justin Jackson,85.0,325.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Joel Berry II,226.0,183.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Joel Berry II,1040.0,355.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Justin Jackson,1033.0,314.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Isaiah Hicks,1041.0,269.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Tony Bradley,997.0,284.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Justin Jackson,95.0,325.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,right,Isaiah Hicks,1048.0,259.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Kennedy Meeks,1035.0,274.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Luke Maye,174.0,132.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,left,Isaiah Hicks,144.0,167.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,left,Kennedy Meeks,115.0,291.0,twopointmade,fieldgoal,true,hook shot,,false,2.0
2016,UNC,right,Joel Berry II,1011.0,370.0,twopointmade,fieldgoal,true,jump shot,floating,false,2.0
2016,UNC,right,Joel Berry II,955.0,112.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Joel Berry II,1062.0,348.0,twopointmade,fieldgoal,true,layup,driving,false,2.0
2016,UNC,right,Isaiah Hicks,844.0,250.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Isaiah Hicks,1020.0,297.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2016,UNC,right,Kenny Williams,870.0,369.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Kennedy Meeks,1028.0,329.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,right,Isaiah Hicks,1047.0,345.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2016,UNC,right,Kennedy Meeks,1051.0,399.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Nate Britt,861.0,366.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Justin Jackson,1050.0,304.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Joel Berry II,1040.0,335.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Joel Berry II,910.0,458.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,left,Luke Maye,115.0,291.0,twopointmade,fieldgoal,true,tip shot,,false,2.0
2016,UNC,left,Kennedy Meeks,96.0,317.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Nate Britt,1000.0,267.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Justin Jackson,1037.0,146.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,J.P. Tokoto,964.0,308.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Justin Jackson,1019.0,329.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Kennedy Meeks,96.0,246.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Justin Jackson,205.0,279.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Brice Johnson,88.0,356.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Tony Bradley,75.0,318.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Justin Jackson,1065.0,315.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,left,Joel Berry II,72.0,256.0,twopointmade,fieldgoal,true,layup,driving,false,2.0
2016,UNC,left,Joel Berry II,75.0,290.0,twopointmade,fieldgoal,true,layup,driving,false,2.0
2016,UNC,left,Joel Berry II,74.0,320.0,twopointmade,fieldgoal,true,layup,driving,false,2.0
2016,UNC,right,Justin Jackson,987.0,207.0,twopointmade,fieldgoal,true,jump shot,floating,false,2.0
2015,UNC,left,Brice Johnson,71.0,312.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2016,UNC,right,Theo Pinson,1024.0,294.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2016,UNC,left,Kennedy Meeks,68.0,311.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Kennedy Meeks,1051.0,290.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Isaiah Hicks,72.0,252.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Theo Pinson,1028.0,379.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Tony Bradley,1038.0,314.0,twopointmade,fieldgoal,true,layup,,false,2.0
2016,UNC,right,Kennedy Meeks,1059.0,286.0,twopointmade,fieldgoal,true,layup,reverse,false,2.0
2015,UNC,left,Isaiah Hicks,68.0,358.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Joel Berry II,1050.0,284.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Brice Johnson,1047.0,317.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,left,Brice Johnson,228.0,401.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,right,Marcus Paige,997.0,308.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2015,UNC,left,Isaiah Hicks,89.0,267.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Brice Johnson,1050.0,280.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Brice Johnson,71.0,271.0,twopointmade,fieldgoal,true,dunk,,false,2.0
2015,UNC,left,Joel James,77.0,312.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Isaiah Hicks,85.0,276.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Brice Johnson,1009.0,204.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Brice Johnson,1054.0,413.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Kennedy Meeks,74.0,274.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Brice Johnson,1030.0,298.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Marcus Paige,1006.0,274.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Nate Britt,143.0,272.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Justin Jackson,108.0,331.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Brice Johnson,158.0,185.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Brice Johnson,116.0,296.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,right,Nate Britt,854.0,307.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
2014,UNC,left,Justin Jackson,77.0,287.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,right,Justin Jackson,1062.0,312.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Kennedy Meeks,71.0,272.0,twopointmade,fieldgoal,true,layup,,false,2.0
2014,UNC,left,Brice Johnson,82.0,320.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,right,Kennedy Meeks,1054.0,329.0,twopointmade,fieldgoal,true,layup,,false,2.0
2015,UNC,left,Joel Berry II,153.0,286.0,twopointmade,fieldgoal,true,jump shot,,false,2.0
